Batch,Gene,sgRNA,AEI,A2CEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
ALPHA,THAP8,THAP8_3,0.93376647008,0.060531576705,0.0987297029442,0.0838328205206,0.0568396984489,0.252116765451
ALPHA,TENT4B,TENT4B_1,0.890333300926,0.0584688229208,0.0935222219128,0.0801757960344,0.0564600008448,0.249701370658
ALPHA,TET2,TET2_2,0.916267956162,0.0644763053015,0.0989918115834,0.0784220907613,0.0554231989959,0.244470329408
ALPHA,THUMPD3,THUMPD3_1,0.914984880687,0.0633977275161,0.102692317644,0.0811716812767,0.0581437809285,0.250617053113
ALPHA,TET2,TET2_3,0.929169666052,0.0617383208048,0.10055160614,0.0839485052013,0.0596393697257,0.258510249062
ALPHA,THAP7,THAP7_2,0.911686804254,0.0658894341771,0.104121522162,0.0866714938962,0.0608674373241,0.262830503236
ALPHA,TFCP2,TFCP2_2,0.926251639397,0.0653408122385,0.0964168744168,0.0843999641543,0.0598651688009,0.262081149828
ALPHA,THRB,THRB_2,0.923642165172,0.0657854359249,0.100374589359,0.08380811275,0.0583349200675,0.259031105017
ALPHA,TET1,TET1_2,0.914090598983,0.060919150311,0.0916151929175,0.0809534568587,0.0592464221989,0.251415866517
ALPHA,TFAP2E,TFAP2E_3,0.933922444094,0.0654205729433,0.103689908023,0.0814443811408,0.0607679205845,0.252212184108
ALPHA,TERF1,TERF1_3,0.958085183227,0.0649190136359,0.101441331585,0.0842558440299,0.0642662049021,0.266893379785
ALPHA,THAP6,THAP6_2,0.904910322216,0.061232449087,0.0967815623191,0.0810414497559,0.0555032130737,0.247590520559
ALPHA,TENT4B,TENT4B_2,0.901389609333,0.0662095742739,0.100716263713,0.0838676852475,0.0592219562933,0.25426925605
ALPHA,THRB,THRB_1,0.9115036939,0.0603424960311,0.0922760458189,0.07970366511,0.0562819576814,0.249270157738
ALPHA,TENT4B,TENT4B_3,0.904798614312,0.0626652289801,0.100558716016,0.082894507972,0.0575863803549,0.258236877083
ALPHA,TFDP1,TFDP1_2,0.876266801597,0.0611370488846,0.100417944105,0.0816495653882,0.0570582411559,0.247891454919
ALPHA,TFB2M,TFB2M_3,0.903969759149,0.0668174603166,0.102155476405,0.0872297746712,0.0615515962592,0.260088824559
ALPHA,THAP9,THAP9_2,0.944038499083,0.0647213191014,0.0994960719912,0.0860235880714,0.058444356515,0.258355280783
