Batch,Gene,sgRNA,AEI,A2CEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
ALPHA,SETMAR,SETMAR_2,0.897262827417,0.0606348007909,0.0931945072514,0.0829276083358,0.0559457819554,0.25059618322
ALPHA,SETD9,SETD9_1,0.91802539644,0.0644816502358,0.0950773139744,0.0798434226402,0.0597484983359,0.246627317805
ALPHA,SAP30L,SAP30L_2,0.910714646341,0.0649586828882,0.0973673739757,0.0839236441729,0.0602988423683,0.260032266005
ALPHA,SENP1,SENP1_1,0.934114459668,0.0627437512177,0.098195377297,0.0856893273499,0.0587622811446,0.262053828332
ALPHA,SENP1,SENP1_3,0.902047891518,0.0623685022388,0.102417163678,0.0830897738702,0.0610983818319,0.254084498762
ALPHA,SETD7,SETD7_1,0.90715034355,0.063030429469,0.0978087268089,0.0807135848863,0.05823785859,0.248882393592
ALPHA,SCYL1,SCYL1_2,0.885516376031,0.0621560366285,0.0943846711871,0.07944142669,0.0562170784703,0.249189879188
ALPHA,SCAPER,SCAPER_2,0.909936670717,0.062728311519,0.100139216735,0.0806965312214,0.0597438289417,0.249467295029
ALPHA,SCRT1,SCRT1_3,0.907381769686,0.0670363294557,0.0986342295921,0.0866331959638,0.0580444484876,0.251013992953
ALPHA,SETSIP,SETSIP_1,0.908396129555,0.0606705122679,0.0990627749734,0.0788483644029,0.0620913873768,0.24582470652
ALPHA,SETMAR,SETMAR_1,0.920950614081,0.0638063660614,0.0954017103444,0.0824677456945,0.0598915652603,0.254267278862
ALPHA,SETD4,SETD4_3,0.925512702691,0.0628900817656,0.095239906628,0.083910169268,0.0563945466597,0.251754940391
ALPHA,SET,SET_1,0.918642297438,0.0653304139445,0.101611286638,0.0761428914024,0.0627789135185,0.257091683189
ALPHA,SETD4,SETD4_1,0.913751118116,0.0646088695827,0.0966982977718,0.0857699218427,0.0609450446945,0.26489935223
ALPHA,SENP1,SENP1_2,0.890725146494,0.0642564613777,0.0962477696894,0.0848503629872,0.0584432438751,0.253377965936
ALPHA,SCML1,SCML1_1,0.916095198183,0.059885346875,0.0926875550461,0.0767255072638,0.053399088214,0.243549788942
ALPHA,SCML1,SCML1_2,0.886616346357,0.0601774899278,0.0935507383621,0.0796718019572,0.0536808083251,0.239637476426
ALPHA,SAMD1,SAMD1_1,0.894932707085,0.060270577955,0.0954977467741,0.0806617617609,0.056515929295,0.244563124246
ALPHA,SETD4,SETD4_2,0.93267886612,0.0632927382718,0.10298767199,0.0830537654952,0.0553839284835,0.25307281059
ALPHA,SAMD4A,SAMD4A_3,0.908025067334,0.0675410060404,0.106861480053,0.0871762675918,0.0623599429073,0.267801758412
ALPHA,SALL4,SALL4_1,0.929550486304,0.0609805081466,0.0950312840212,0.0797467513893,0.0579262991625,0.256118088949
ALPHA,SCG2,SCG2_1,0.890844218343,0.0608848472523,0.0954057835529,0.079920971102,0.0583883428057,0.251733919272
ALPHA,SETDB1,SETDB1_1,0.919674121483,0.0651969748705,0.100789773451,0.0817402365706,0.0596517876715,0.254346418807
ALPHA,SETX,SETX_3,0.909614709794,0.0595874950033,0.0921082463103,0.0779373430804,0.0574145156358,0.247619763349
ALPHA,SETD1A,SETD1A_2,0.906649369533,0.0649304658415,0.0998805114088,0.0873012103248,0.0592233009709,0.251952868243
ALPHA,SETD3,SETD3_1,0.896000746999,0.0629072957373,0.0950726132348,0.0823203588528,0.0552347151784,0.25230174073
ALPHA,SF1,SF1_1,0.927843803279,0.0628196253389,0.0968536105824,0.0804204969045,0.0567000018908,0.254414350525
ALPHA,SCAI,SCAI_3,0.904940449696,0.0636388973441,0.0973103864606,0.0838233513798,0.0593917611064,0.26133034421
ALPHA,SAMD4A,SAMD4A_1,0.928152809381,0.061969172644,0.0985989198937,0.0833913603028,0.055731782854,0.246408723917
ALPHA,SFMBT1,SFMBT1_1,0.886760594849,0.0623935929739,0.0977502360362,0.0841311877406,0.056611648728,0.250747554641
ALPHA,SETDB2,SETDB2_1,0.92097953135,0.0638678244079,0.0993664506044,0.0816918809075,0.0600172738369,0.250349550392
ALPHA,SCRT2,SCRT2_3,0.913891569248,0.0641261016426,0.100108791055,0.0834451008953,0.0580842993193,0.25805055065
ALPHA,SF1,SF1_2,1.00671792896,0.0630715862504,0.0971291633662,0.0834888517827,0.0577153021076,0.254945011127
ALPHA,SETD5,SETD5_2,0.935600732443,0.0590360255108,0.100041399638,0.0842399563774,0.0595922937276,0.246604803472
ALPHA,SCML2,SCML2_1,0.973143992441,0.0627347079879,0.0936521320807,0.0858857420508,0.0566583891814,0.257746533813
