Batch,Gene,Gene Average AEI,Gene Average Z-Score,Gene Number of sgRNAs,observed_stat,p_value,num_permutations,p_value_corrected
ALPHA,SERTAD3,0.9206300286783332,0.12992415438616386,3,0.0014851165465025185,0.8233517664823352,100000.0,0.9366590205065691
ALPHA,SFMBT1,0.899514391419,-1.7173593613113005,2,-0.019630520712830668,0.016761904761904763,100000.0,0.10493888263967004
ALPHA,SAP30L,0.9093878724723332,-0.8535862926433433,3,-0.00975703965949748,0.14483855161448386,100000.0,0.3898916504833105
ALPHA,SCAI,0.9225098078446666,0.2943750314528349,3,0.003364895712835936,0.6220137798622014,100000.0,0.8264176571359002
ALPHA,SARNP,0.9254840833293333,0.55457698541183,3,0.006339171197502602,0.37423625763742363,100000.0,0.6504511743435826
ALPHA,SETDB2,0.9123361668096667,-0.5956572771989808,3,-0.006808745322164023,0.3161368386316137,100000.0,0.5998702613366388
ALPHA,SETD6,0.905827656507,-1.165048749793491,2,-0.01331725562483066,0.1026031746031746,100000.0,0.3175886570929054
ALPHA,SALL1,0.9120514517920001,-0.6205653276806042,3,-0.007093460339830604,0.2984770152298477,100000.0,0.5812691995547201
ALPHA,SALL4,0.914992687936,-0.36325379225994703,2,-0.004152224195830723,0.6361904761904762,100000.0,0.8370561647766982
ALPHA,SAFB,0.9237128975985001,0.3996263124284338,2,0.0045679854666693664,0.5899682539682539,100000.0,0.8096849984999446
ALPHA,SBNO2,0.924351024822,0.4554523283052871,2,0.005206112690169351,0.5366349206349207,100000.0,0.7724141347170177
ALPHA,SF1,0.9408853171346666,1.901940788861302,3,0.021740405002836027,0.04347956520434796,100000.0,0.18668251216358728
ALPHA,SCML2,0.9343476494253333,1.3299985054134809,3,0.015202737293502633,0.04799952000479995,100000.0,0.19962139893579667
ALPHA,SCYL1,0.9088535417983333,-0.9003317559172661,3,-0.010291370333497363,0.13529864701352987,100000.0,0.37601587759146243
ALPHA,SCAPER,0.9071740933976667,-1.047256866815574,3,-0.011970818734163946,0.06991930080699194,100000.0,0.24990363909192947
ALPHA,SAMD1,0.8948375247233332,-2.126511055191668,3,-0.02430738740849725,0.0002999970000299997,100000.0,0.0069781217081446205
ALPHA,SETD1A,0.9195498868365,0.03542886662723965,2,0.00040497470466926977,0.9612698412698413,100000.0,0.9900430670681517
ALPHA,SCX,0.901904928597,-1.5082252552293551,2,-0.017239983534830694,0.025904761904761906,100000.0,0.13461856661856664
ALPHA,SETD7,0.9144114043229999,-0.4141068933552147,3,-0.00473350780883075,0.4980150198498015,100000.0,0.7490567322662399
ALPHA,SETMAR,0.917704312104,-0.12602966471914787,3,-0.0014406000278306408,0.8358916410835892,100000.0,0.943511135688684
ALPHA,SETD3,0.9215367325013334,0.2092463649960988,3,0.002391820369502695,0.7314126858731412,100000.0,0.8877234735840263
ALPHA,SCRT1,0.934353751921,1.3305323770419444,2,0.015208839789169315,0.08558730158730159,100000.0,0.283970614447094
