StrandDecidingMethod,Group,Sample,SamplePath,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RAB40C_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RAB40C_3.Aligned.sortedByCoord.216.bam,0.061143398569,0.90640558073,0.092433315748,0.128011223395,0.0578801810669,0.243900010322
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RASA2_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RASA2_3.Aligned.sortedByCoord.216.bam,0.0625460247952,0.911470480716,0.0908663991067,0.127190860552,0.0586470071883,0.244476027098
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RASSF8_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RASSF8_2.Aligned.sortedByCoord.216.bam,0.0585253236493,0.978905729941,0.0930283001247,0.126802539753,0.061714160084,0.239814158933
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RBM12B_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RBM12B_1.Aligned.sortedByCoord.216.bam,0.0591110293135,0.913403458538,0.0881615646625,0.122166904244,0.0526708590231,0.228185997263
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RAB40C_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RAB40C_1.Aligned.sortedByCoord.216.bam,0.0623238030328,1.00381841877,0.0952494480706,0.124682136907,0.0554166988164,0.241260517328
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RASSF2_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RASSF2_3.Aligned.sortedByCoord.216.bam,0.0573006584861,0.95245155429,0.0866649234842,0.127679415895,0.0555223578937,0.235962563722
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RASIP1_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RASIP1_3.Aligned.sortedByCoord.216.bam,0.0638607003278,0.891118256957,0.0947241075859,0.131095383417,0.0604718525773,0.245483013681
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RASA2_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RASA2_1.Aligned.sortedByCoord.216.bam,0.0661804595045,0.905590758365,0.105122580159,0.141307368608,0.0688325929498,0.26208169085
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RAP1GAP_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RAP1GAP_3.Aligned.sortedByCoord.216.bam,0.0610495876908,0.922022265478,0.0905575992769,0.130692923801,0.0597024354132,0.247592837599
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RAPGEF1_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RAPGEF1_2.Aligned.sortedByCoord.216.bam,0.0619930980922,0.918143461827,0.0927961311393,0.130860729511,0.0606621207262,0.246188481169
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RAD50_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RAD50_1.Aligned.sortedByCoord.216.bam,0.0637374379111,0.934430499133,0.090692211731,0.123974760108,0.0570969484774,0.245255662948
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RBM11_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RBM11_1.Aligned.sortedByCoord.216.bam,0.0601681142143,0.91886905349,0.0869118085089,0.128753745705,0.0610747762057,0.244192139809
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RABEPK_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RABEPK_2.Aligned.sortedByCoord.216.bam,0.0644524169046,0.917051333954,0.0942304133786,0.12628224272,0.0593329475349,0.249143424002
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RBFOX2_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RBFOX2_2.Aligned.sortedByCoord.216.bam,0.06176441416,0.938896959405,0.0907797861643,0.124849370989,0.0589100321875,0.23795269232
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RASSF3_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RASSF3_3.Aligned.sortedByCoord.216.bam,0.0628859516008,0.935934004334,0.0938896213724,0.12970277611,0.061579636088,0.253279210977
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RAMP2_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RAMP2_2.Aligned.sortedByCoord.216.bam,0.0576149665781,0.953326770217,0.0850411433381,0.126850531138,0.0554856325564,0.236611961814
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RASGRP4_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RASGRP4_2.Aligned.sortedByCoord.216.bam,0.0562532244848,0.909515203309,0.0860058188691,0.124109934608,0.0585024634281,0.233098001625
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RAB41_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RAB41_1.Aligned.sortedByCoord.216.bam,0.0617615181455,0.917004972487,0.0855244613349,0.12879416981,0.0593518633078,0.23690012561
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RBM11_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RBM11_2.Aligned.sortedByCoord.216.bam,0.0621034533919,0.948013136954,0.0972361200239,0.13107909175,0.0615722714945,0.251644471312
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RAB43_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RAB43_2.Aligned.sortedByCoord.216.bam,0.0594818544757,0.936324303118,0.0934913392185,0.130132549066,0.0618308017582,0.247077419607
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RABEPK_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RABEPK_3.Aligned.sortedByCoord.216.bam,0.0638881369762,0.920573091818,0.0928723056826,0.133123408348,0.0599282473315,0.257778699127
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RBM33_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RBM33_1.Aligned.sortedByCoord.216.bam,0.0564416307736,0.986863903516,0.0882656461694,0.124559378796,0.058076713127,0.242833528402
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RAPGEF1_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RAPGEF1_1.Aligned.sortedByCoord.216.bam,0.0607962592074,0.907213511577,0.0887875531421,0.129001121276,0.0601921938929,0.238063834444
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RASSF8_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RASSF8_3.Aligned.sortedByCoord.216.bam,0.058747876983,0.908110084449,0.0838914011112,0.127830068019,0.0531996832471,0.228748714552
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RABEP1_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RABEP1_2.Aligned.sortedByCoord.216.bam,0.064270169592,0.964205139465,0.094510623549,0.130660373215,0.0622740617565,0.255857600502
