COG4,ZBTB11
COG6,ATMIN
COG8,DAXX
COIL,ERCC6L
COPA,NABP2
COPB1,ILF2
COPB2,MAGOH
COPE,JAG2
COPG1,SETD2
COPG2,LSM12
COPS2,WIPI2
COPS3,MTHFD1L
COPS4,AIFM1
COPS5,RTF2
COPS6,PPP1R10
COPS8,NSDHL
COPZ1,ELP2
COPZ2,LRPPRC
COQ4,ALKBH8
COX11,SFSWAP
COX17,NADK2
COX20,THOC2
COX5A,ZC3H8
COX6A1,GTF2F1
COX6B1,U2AF2
COX7B,KIAA1958
CPSF1,POLR2M
CPSF2,TRMT10A
CPSF3,TXN
CPSF4,ACD
CPSF6,FEN1
CRCP,LIN9
CRCT1,ARIH2
CRKL,TAF10
CRLS1,DDX6
CRNKL1,GPR89A
CRYBG3,PCNX1
CS,MAPKAP1
CSAG2,TADA2A
CSE1L,SPRTN
CSH2,SLC30A9
CSNK1A1,VPS37A
CSNK2B,POLR3D
CSNKA2IP,PAXBP1
CSTF1,POLR2K
CSTF3,BRIP1
CTAGE9,KDM6B
CTCF,TBL1X
CTDNEP1,CENPO
CTDP1,TAF1C
CTNNBL1,SLF2
CTPS1,ERCC2
CTR9,TEX10
CTU2,HAUS7
CUL1,MYO9B
CUL2,ZNF341
CUL3,PCBP1
CWC15,TRMT13
CWC22,RARS1
CWC25,TBP
CWF19L2,HEPH
CYCS,PCID2
DAD1,USP36
DAP3,EIF3D
DARS1,CUL1
DBF4,MCM6
DBR1,TERF2
DCAF1,NELFE
DCAF13,RPL27A
DCAF7,NHP2
DCLRE1B,DDX41
DCP1A,ALDH6A1
DCP2,FOXL1
DCTN2,RECQL
DCTN3,MRPS15
DCTN4,CACNB1
DCTN5,NSMCE1
DCTN6,FUBP1
DDA1,TGS1
DDB1,TARDBP
DDOST,STX2
DDX10,CCDC103
DDX11,NUF2
DDX18,MIS12
DDX20,XPO1
DDX21,KDF1
DDX23,ZSCAN4
DDX24,GTF2A2
DDX27,CTC1
DDX39B,ECT2
DDX3X,YPEL4
DDX41,METTL3
DDX42,EIF4A3
DDX46,RPRD1B
DDX47,WARS2
DDX49,MED30
DDX5,POLR2F
DDX51,HIRA
DDX52,STON1
DDX54,ZFPM1
DDX55,CDC45
DDX56,FNBP4
DDX59,IGDCC4
DDX6,NBN
DENR,TAF12
DGCR8,FRS2
DHDDS,ACAD9
DHFR,HSPA13
DHFR2,CSRNP3
DHPS,SMARCC1
DHX15,XRCC1
DHX16,YBEY
DHX33,FAAP24
DHX36,KLF16
DHX37,CENPP
DHX38,CYLD
DHX8,RTEL1
DHX9,CUL5
DIMT1,EPS15L1
DIS3,F8A2
DKC1,RNF138
DLST,ADAT2
DMAP1,MBD5
DNA2,AHCTF1
DNAAF10,VPS37B
DNAJA1,ISG20L2
DNAJA3,ZNF598
DNAJC11,GCC2
DNAJC17,EDRF1
DNAJC8,TUBD1
DNAJC9,BIRC6
DNM1L,DDX31
DNM2,WAC
DNMT1,RAD50
DNTTIP2,NUSAP1
DONSON,ZC3H11A
DPAGT1,TONSL
DPH3,MRM2
DPM3,SUPT16H
DR1,SWI5
DROSHA,TRMT61A
DSN1,BRF2
DTL,CNOT7
DTYMK,COG3
DUT,CNOT3
DUXA,RIF1
DYNC1H1,MIS18BP1
DYNC1I2,ALG5
DYNLL1,SNRPD3
DYNLRB1,ALG8
E4F1,COG8
EAPP,TWNK
EBNA1BP2,TIMP3
ECD,HUS1
ECT2,MYSM1
EDC4,ACTR5
EEF1A1,IFT80
EEF1B2,MBD3
EEF1G,JARID2
EEF2,NUP54
EEF2KMT,SNAPC1
EFL1,EXOSC10
EFNA3,INTS1
EFTUD2,DIS3L
EIF1,XRCC3
EIF1AD,GJD4
EIF1AX,SOCS4
EIF2B1,ERCC4
EIF2B2,DHX29
EIF2B3,CENPJ
EIF2B4,TSACC
EIF2B5,POLI
EIF2S1,ZNF593
EIF2S2,SMDT1
EIF2S3,TIGD6
EIF3A,DTL
EIF3B,CCT8
EIF3D,DDB1
EIF3E,ANAPC1
EIF3F,KIF4A
EIF3G,SASS6
EIF3H,DPF2
EIF3I,RNF115
EIF3J,N6AMT1
EIF3M,AATF
EIF4A1,RAD51D
EIF4A3,OGT
EIF4B,FBXO22
EIF4E,PINX1
EIF4G1,LSM8
EIF4G2,PNPT1
EIF5,RNPC3
EIF5A,IWS1
EIF5AL1,ZFC3H1
EIF5B,TATDN3
EIF6,AARS1
ELAC2,C19orf25
ELL,PRDM14
ELOB,ORC1
ELOC,H2AZ1
ELP1,TRAPPC4
ELP2,ACTR3
ELP3,SSBP1
ELP4,BNIP1
ELP5,EIF4A1
ELP6,C2CD2
EMC7,CNOT9
ENY2,ALKBH5
EP400,NOP2
EPOP,UQCRB
EPRS1,DSN1
ERCC2,SMN1
ERCC3,FAM204A
ERH,SRRT
ERVW-1,POLR1F
ESF1,EXOSC9
ESPL1,SFPQ
ESS2,H2AX
ETF1,MPHOSPH8
EWSR1,VPS45
EXOC1,SLC37A1
EXOC1L,MED14
EXOC2,TAF9
EXOC3,UQCRC2
EXOC5,CPSF3
EXOC8,SUMO2
EXOSC1,NPM1
EXOSC10,GLI2
EXOSC2,DDX56
EXOSC3,NAF1
EXOSC4,WRAP53
EXOSC5,METTL15
EXOSC6,CMTR1
EXOSC7,CYB5RL
EXOSC8,SPHK2
EXOSC9,KANSL3
FAAP100,DDX49
FAAP24,PET117
FAM133B,POLR2J3
FAM136A,MRPS18C
FAM168A,VPS36
FAM227A,POLR1G
FAM32A,TACC3
FANCM,GPN2
FARSA,RNF4
FARSB,DDX55
FAU,GLMN
FBL,TOPBP1
FBLIM1,MRPL13
FBRS,PPHLN1
FBXO5,GTF3C1
FCF1,GARS1
FCGR1A,DDX42
FDPS,NFRKB
FDX2,UBAP1
FDXR,BNC2
FECH,CASP8AP2
FEN1,CCNG1
FER1L5,POLR3G
FERMT3,POLG2
FIP1L1,ENY2
FNBP4,TMEM175
FNTA,RAB40C
FNTB,PRDM15
FOXD4,NELFA
FTH1,ANAPC15
FTSJ3,DHPS
FXN,CENPW
GABPA,TIMM23B
GABPB1,H2AC20
GAK,DDX23
GAPDH,PPP1R8
GAR1,ANKZF1
GARS1,CCNB1
GART,POLE2
GBF1,SON
GCSH,SLC25A40
GEMIN2,NUP153
GEMIN4,RHOA
GEMIN5,MMS22L
GEMIN6,ELAC2
GEMIN7,RAD9A
GEMIN8,DMAP1
GET3,SALL4
GFER,HOXD13
GFPT1,SAP30BP
GGPS1,RPS21
GGTLC2,TSR2
GINS1,ICE2
GINS2,STN1
GINS3,CENPQ
GINS4,PPM1D
GLE1,NCBP1
GMPPB,KANSL1
GMPS,XRCC6
GNB1L,LNX2
GNL2,ATP5PF
